product_id;code_public;name_full
41310;32320.16;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 160 mm s izolací 25 mm"
41311;32320.18;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 180 mm s izolací 25 mm"
41312;32320.2;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 200 mm s izolací 25 mm"
41313;32320.23;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 230 mm s izolací 25 mm"
41314;32320.25;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 250 mm s izolací 25 mm"
41315;36320.15;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 150 mm s izolací 50 mm"
41316;36320.16;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 160 mm s izolací 50 mm"
41317;36320.18;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 180 mm s izolací 50 mm"
41318;36320.2;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 200 mm s izolací 50 mm"
41319;36320.23;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 230 mm s izolací 50 mm"
41320;36320.25;"ROKA Nerezový třívrstvý komínový díl délky 250 mm Ø 250 mm s izolací 50 mm"
41297;32310.15;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 150 mm s izolací 25 mm"
41298;32310.16;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 160 mm s izolací 25 mm"
41299;32310.18;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 180 mm s izolací 25 mm"
41300;32310.2;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 200 mm s izolací 25 mm"
41301;32310.23;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 230 mm s izolací 25 mm"
41302;32310.25;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 250 mm s izolací 25 mm"
41303;36310.15;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 150 mm s izolací 50 mm"
41304;36310.16;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 160 mm s izolací 50 mm"
41305;36310.18;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 180 mm s izolací 50 mm"
41306;36310.2;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 200 mm s izolací 50 mm"
41307;36310.23;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 230 mm s izolací 50 mm"
41308;36310.25;"ROKA Nerezový třívrstvý komínový díl délky 450 mm Ø 250 mm s izolací 50 mm"
41285;32300.15;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 150 mm s izolací 25 mm"
41286;32300.16;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 160 mm s izolací 25 mm"
41287;32300.18;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 180 mm s izolací 25 mm"
41288;32300.2;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 200 mm s izolací 25 mm"
41289;32300.23;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 230 mm s izolací 25 mm"
41290;32300.25;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 250 mm s izolací 25 mm"
41291;36300.15;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 150 mm s izolací 50 mm"
41292;36300.16;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 160 mm s izolací 50 mm"
41293;36300.18;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 180 mm s izolací 50 mm"
41295;36300.23;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 230 mm s izolací 50 mm"
41296;36300.25;"ROKA Nerezový třívrstvý komínový díl délky 950 mm Ø 250 mm s izolací 50 mm"
41109;32105.15;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 150 mm s tloušťkou izolace 25 mm"
41110;32105.16;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 160 mm s tloušťkou izolace 25 mm"
41111;32105.18;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 180 mm s tloušťkou izolace 25 mm"
41112;32105.2;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 200 mm s tloušťkou izolace 25 mm"
41113;32105.23;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 230 mm s tloušťkou izolace 25 mm"
41114;32105.25;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 250 mm s tloušťkou izolace 25 mm"
41115;36105.15;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm  Ø vložky 150 mm s izolací 50 mm"
41116;36105.16;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm  Ø vložky 160 mm s izolací 50 mm"
41117;36105.18;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm  Ø vložky 180 mm s izolací 50 mm"
41118;36105.2;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm  Ø vložky 200 mm s izolací 50 mm"
41119;36105.23;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 230 mm s izolací 50 mm"
41120;36105.25;"ROKA Nerezový třívrstvý komínový díl s dvojitým kontrolním otvorem 150 x 250 mm Ø vložky 250 mm s izolací 50 mm"
41097;32100.15;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 150 mm s izolací 25 mm"
41098;32100.16;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 160 mm s izolací 25 mm"
41099;32100.18;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 180 mm s izolací 25 mm"
41100;32100.2;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm  Ø vložky 200 mm s izolací 25 mm"
41101;32100.23;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm Ø vložky 230 mm s izolací 25 mm"
41102;32100.25;"ROKA Nerezový třívrstvý komínový díl s kontrolním otvorem 150 x 250 mm Ø vložky 250 mm s izolací 25 mm"
